"filename", "language", "Markdown", "Shell Script", "Log", "YAML", "JSON", "Ignore", "Go", "PowerShell", "Go Checksum File", "Makefile", "Docker", "C", "Go Module File", "JavaScript", "PostCSS", "HTML", "Properties", "Python", "JSON with Comments", "pip requirements", "C++", "Go Template File", "Go Assembly", "TOML", "Ini", "Ruby", "XML", "TypeScript", "SCSS", "comment", "blank", "total"
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/helper_ocp.sh", "Shell Script", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 174
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/master.sh", "Shell Script", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 47
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/rh-1.4.0/master/1_control_plane_components.yaml", "YAML", 0, 0, 0, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 53, 1715
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/rh-1.4.0/master/2_etcd.yaml", "YAML", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 194
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/rh-1.4.0/master/3_control_plane_configuration.yaml", "YAML", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 90
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/rh-1.4.0/master/5_policies.yaml", "YAML", 0, 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 456
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/rh-1.4.0/worker/4_worker_nodes.yaml", "YAML", 0, 0, 0, 577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 584
"/home/wushuang/MicroSegX/docker-images/microsegx/agent/nvbench/ocp/worker.sh", "Shell Script", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 50
"/home/wushuang/MicroSegX/docker-images/microsegx/genlic.sh", "Shell Script", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/wushuang/MicroSegX/docker-images/microsegx/scripts/runtime-gdb.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 112, 505
"/home/wushuang/MicroSegX/docker-images/microsegx/scripts/sysctl.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 6
"/home/wushuang/MicroSegX/docker-images/microsegx/scripts/teardown.sh", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 21
